simulacion_id,num_puertas,premio,eleccion_inicial,puerta_abierta,nueva_eleccion,estrategia,resultado
388,3,2,2,0,1,Cambiar,0
389,3,1,0,2,1,Cambiar,1
390,3,2,0,1,2,Cambiar,1
391,3,0,2,1,0,Cambiar,1
392,3,2,1,0,2,Cambiar,1
393,3,2,1,0,2,Cambiar,1
394,3,2,2,1,0,Cambiar,0
395,3,2,0,1,2,Cambiar,1
396,3,0,2,1,0,Cambiar,1
397,3,1,1,0,2,Cambiar,0
398,3,0,1,2,0,Cambiar,1
399,3,1,1,0,2,Cambiar,0
400,3,2,2,0,1,Cambiar,0
401,3,2,1,0,2,Cambiar,1
402,3,1,2,0,1,Cambiar,1
403,3,0,2,1,0,Cambiar,1
404,3,2,2,1,0,Cambiar,0
405,3,1,2,0,1,Cambiar,1
406,3,0,1,2,0,Cambiar,1
407,3,1,0,2,1,Cambiar,1
408,3,2,1,0,2,Cambiar,1
409,3,2,0,1,2,Cambiar,1
410,3,0,1,2,0,Cambiar,1
411,3,2,1,0,2,Cambiar,1
412,3,0,2,1,0,Cambiar,1
413,3,0,0,1,2,Cambiar,0
414,3,0,1,2,0,Cambiar,1
415,3,0,0,2,1,Cambiar,0
416,3,1,2,0,1,Cambiar,1
417,3,1,1,2,0,Cambiar,0
418,3,1,1,2,0,Cambiar,0
419,3,2,2,1,0,Cambiar,0
420,3,2,1,0,2,Cambiar,1
421,3,0,2,1,0,Cambiar,1
422,3,2,1,0,2,Cambiar,1
423,3,2,0,1,2,Cambiar,1
424,3,0,2,1,0,Cambiar,1
425,3,0,2,1,0,Cambiar,1
426,3,0,0,2,1,Cambiar,0
427,3,1,2,0,1,Cambiar,1
428,3,0,0,2,1,Cambiar,0
429,3,1,1,2,0,Cambiar,0
430,3,0,1,2,0,Cambiar,1
431,3,0,1,2,0,Cambiar,1
432,3,0,1,2,0,Cambiar,1
433,3,1,1,0,2,Cambiar,0
434,3,2,0,1,2,Cambiar,1
435,3,1,2,0,1,Cambiar,1
436,3,1,1,2,0,Cambiar,0
437,3,1,2,0,1,Cambiar,1
438,3,0,2,1,0,Cambiar,1
439,3,2,2,0,1,Cambiar,0
440,3,0,0,1,2,Cambiar,0
441,3,0,0,1,2,Cambiar,0
442,3,2,2,1,0,Cambiar,0
443,3,0,2,1,0,Cambiar,1
444,3,1,0,2,1,Cambiar,1
445,3,0,1,2,0,Cambiar,1
446,3,1,2,0,1,Cambiar,1
447,3,2,1,0,2,Cambiar,1
448,3,2,0,1,2,Cambiar,1
449,3,0,1,2,0,Cambiar,1
450,3,2,2,0,1,Cambiar,0
451,3,2,1,0,2,Cambiar,1
452,3,2,0,1,2,Cambiar,1
453,3,1,0,2,1,Cambiar,1
454,3,0,1,2,0,Cambiar,1
455,3,0,0,2,1,Cambiar,0
456,3,2,2,1,0,Cambiar,0
457,3,0,2,1,0,Cambiar,1
458,3,0,2,1,0,Cambiar,1
459,3,2,0,1,2,Cambiar,1
460,3,2,2,0,1,Cambiar,0
461,3,2,2,0,1,Cambiar,0
462,3,0,1,2,0,Cambiar,1
463,3,1,2,0,1,Cambiar,1
464,3,2,1,0,2,Cambiar,1
465,3,2,1,0,2,Cambiar,1
466,3,0,2,1,0,Cambiar,1
467,3,2,0,1,2,Cambiar,1
468,3,1,0,2,1,Cambiar,1
469,3,2,1,0,2,Cambiar,1
470,3,2,1,0,2,Cambiar,1
471,3,1,1,0,2,Cambiar,0
472,3,1,0,2,1,Cambiar,1
473,3,1,0,2,1,Cambiar,1
474,3,0,1,2,0,Cambiar,1
475,3,1,2,0,1,Cambiar,1
476,3,2,2,0,1,Cambiar,0
477,3,0,1,2,0,Cambiar,1
478,3,0,1,2,0,Cambiar,1
479,3,1,1,0,2,Cambiar,0
480,3,1,0,2,1,Cambiar,1
481,3,2,1,0,2,Cambiar,1
482,3,0,0,1,2,Cambiar,0
483,3,0,1,2,0,Cambiar,1
484,3,1,0,2,1,Cambiar,1
485,3,2,2,0,1,Cambiar,0
486,3,1,1,2,0,Cambiar,0
487,3,0,2,1,0,Cambiar,1
488,3,0,1,2,0,Cambiar,1
489,3,0,2,1,0,Cambiar,1
490,3,0,0,1,2,Cambiar,0
491,3,2,1,0,2,Cambiar,1
492,3,1,0,2,1,Cambiar,1
493,3,1,2,0,1,Cambiar,1
494,3,0,0,1,2,Cambiar,0
495,3,0,2,1,0,Cambiar,1
496,3,1,2,0,1,Cambiar,1
497,3,0,1,2,0,Cambiar,1
498,3,0,0,2,1,Cambiar,0
499,3,2,1,0,2,Cambiar,1
500,3,1,2,0,1,Cambiar,1
501,3,0,2,1,0,Cambiar,1
502,3,2,0,1,2,Cambiar,1
503,3,2,0,1,2,Cambiar,1
504,3,1,0,2,1,Cambiar,1
505,3,2,0,1,2,Cambiar,1
506,3,1,1,2,0,Cambiar,0
507,3,1,2,0,1,Cambiar,1
508,3,2,1,0,2,Cambiar,1
509,3,2,2,1,0,Cambiar,0
510,3,1,2,0,1,Cambiar,1
511,3,2,2,0,1,Cambiar,0
512,3,1,0,2,1,Cambiar,1
513,3,2,1,0,2,Cambiar,1
514,3,0,1,2,0,Cambiar,1
515,3,1,0,2,1,Cambiar,1
516,3,2,0,1,2,Cambiar,1
517,3,0,1,2,0,Cambiar,1
518,3,0,2,1,0,Cambiar,1
519,3,1,2,0,1,Cambiar,1
520,3,0,1,2,0,Cambiar,1
521,3,0,1,2,0,Cambiar,1
522,3,2,1,0,2,Cambiar,1
523,3,1,2,0,1,Cambiar,1
524,3,1,1,2,0,Cambiar,0
525,3,0,2,1,0,Cambiar,1
526,3,0,1,2,0,Cambiar,1
527,3,0,2,1,0,Cambiar,1
528,3,1,1,2,0,Cambiar,0
529,3,2,1,0,2,Cambiar,1
530,3,1,0,2,1,Cambiar,1
531,3,2,1,0,2,Cambiar,1
532,3,1,0,2,1,Cambiar,1
533,3,2,0,1,2,Cambiar,1
534,3,2,0,1,2,Cambiar,1
535,3,1,1,0,2,Cambiar,0
536,3,0,2,1,0,Cambiar,1
537,3,2,1,0,2,Cambiar,1
538,3,0,1,2,0,Cambiar,1
539,3,0,2,1,0,Cambiar,1
540,3,1,1,2,0,Cambiar,0
541,3,1,1,2,0,Cambiar,0
542,3,1,2,0,1,Cambiar,1
543,3,0,0,1,2,Cambiar,0
544,3,2,2,1,0,Cambiar,0
545,3,0,1,2,0,Cambiar,1
546,3,2,2,0,1,Cambiar,0
547,3,2,2,0,1,Cambiar,0
548,3,1,1,2,0,Cambiar,0
549,3,2,1,0,2,Cambiar,1
550,3,0,2,1,0,Cambiar,1
551,3,1,0,2,1,Cambiar,1
552,3,0,1,2,0,Cambiar,1
553,3,0,0,1,2,Cambiar,0
554,3,2,2,1,0,Cambiar,0
555,3,0,2,1,0,Cambiar,1
556,3,1,0,2,1,Cambiar,1
557,3,1,0,2,1,Cambiar,1
558,3,2,0,1,2,Cambiar,1
559,3,2,0,1,2,Cambiar,1
560,3,1,1,2,0,Cambiar,0
561,3,0,0,2,1,Cambiar,0
562,3,0,0,1,2,Cambiar,0
563,3,0,0,2,1,Cambiar,0
564,3,1,2,0,1,Cambiar,1
565,3,1,0,2,1,Cambiar,1
566,3,0,2,1,0,Cambiar,1
567,3,1,1,0,2,Cambiar,0
568,3,1,1,2,0,Cambiar,0
569,3,1,2,0,1,Cambiar,1
570,3,0,0,2,1,Cambiar,0
571,3,0,1,2,0,Cambiar,1
572,3,0,0,2,1,Cambiar,0
573,3,0,1,2,0,Cambiar,1
574,3,0,2,1,0,Cambiar,1
575,3,0,0,2,1,Cambiar,0
576,3,1,2,0,1,Cambiar,1
577,3,1,2,0,1,Cambiar,1
578,3,0,1,2,0,Cambiar,1
579,3,1,1,2,0,Cambiar,0
580,3,0,2,1,0,Cambiar,1
581,3,0,1,2,0,Cambiar,1
582,3,0,1,2,0,Cambiar,1
583,3,1,0,2,1,Cambiar,1
584,3,1,2,0,1,Cambiar,1
585,3,1,1,0,2,Cambiar,0
586,3,1,1,2,0,Cambiar,0
587,3,1,2,0,1,Cambiar,1
