simulacion_id,num_puertas,premio,eleccion_inicial,puerta_abierta,estrategia,resultado
490,3,0,0,1,No cambiar,1
491,3,2,1,0,No cambiar,0
492,3,1,0,2,No cambiar,0
493,3,1,2,0,No cambiar,0
494,3,0,0,1,No cambiar,1
495,3,0,2,1,No cambiar,0
496,3,1,2,0,No cambiar,0
497,3,0,1,2,No cambiar,0
498,3,0,0,2,No cambiar,1
499,3,2,1,0,No cambiar,0
500,3,1,2,0,No cambiar,0
501,3,0,2,1,No cambiar,0
502,3,2,0,1,No cambiar,0
503,3,2,0,1,No cambiar,0
504,3,1,0,2,No cambiar,0
505,3,2,0,1,No cambiar,0
506,3,1,1,2,No cambiar,1
507,3,1,2,0,No cambiar,0
508,3,2,1,0,No cambiar,0
509,3,2,2,1,No cambiar,1
510,3,1,2,0,No cambiar,0
511,3,2,2,0,No cambiar,1
512,3,1,0,2,No cambiar,0
513,3,2,1,0,No cambiar,0
514,3,0,1,2,No cambiar,0
515,3,1,0,2,No cambiar,0
516,3,2,0,1,No cambiar,0
517,3,0,1,2,No cambiar,0
518,3,0,2,1,No cambiar,0
519,3,1,2,0,No cambiar,0
520,3,0,1,2,No cambiar,0
521,3,0,1,2,No cambiar,0
522,3,2,1,0,No cambiar,0
523,3,1,2,0,No cambiar,0
524,3,1,1,2,No cambiar,1
525,3,0,2,1,No cambiar,0
526,3,0,1,2,No cambiar,0
527,3,0,2,1,No cambiar,0
528,3,1,1,2,No cambiar,1
529,3,2,1,0,No cambiar,0
530,3,1,0,2,No cambiar,0
531,3,2,1,0,No cambiar,0
532,3,1,0,2,No cambiar,0
533,3,2,0,1,No cambiar,0
534,3,2,0,1,No cambiar,0
535,3,1,1,0,No cambiar,1
536,3,0,2,1,No cambiar,0
537,3,2,1,0,No cambiar,0
538,3,0,1,2,No cambiar,0
539,3,0,2,1,No cambiar,0
540,3,1,1,2,No cambiar,1
541,3,1,1,2,No cambiar,1
542,3,1,2,0,No cambiar,0
543,3,0,0,1,No cambiar,1
544,3,2,2,1,No cambiar,1
545,3,0,1,2,No cambiar,0
546,3,2,2,0,No cambiar,1
547,3,2,2,0,No cambiar,1
548,3,1,1,2,No cambiar,1
549,3,2,1,0,No cambiar,0
550,3,0,2,1,No cambiar,0
551,3,1,0,2,No cambiar,0
552,3,0,1,2,No cambiar,0
553,3,0,0,1,No cambiar,1
554,3,2,2,1,No cambiar,1
555,3,0,2,1,No cambiar,0
556,3,1,0,2,No cambiar,0
557,3,1,0,2,No cambiar,0
558,3,2,0,1,No cambiar,0
559,3,2,0,1,No cambiar,0
560,3,1,1,2,No cambiar,1
561,3,0,0,2,No cambiar,1
562,3,0,0,1,No cambiar,1
563,3,0,0,2,No cambiar,1
564,3,1,2,0,No cambiar,0
565,3,1,0,2,No cambiar,0
566,3,0,2,1,No cambiar,0
567,3,1,1,0,No cambiar,1
568,3,1,1,2,No cambiar,1
569,3,1,2,0,No cambiar,0
570,3,0,0,2,No cambiar,1
571,3,0,1,2,No cambiar,0
572,3,0,0,2,No cambiar,1
573,3,0,1,2,No cambiar,0
574,3,0,2,1,No cambiar,0
575,3,0,0,2,No cambiar,1
576,3,1,2,0,No cambiar,0
577,3,1,2,0,No cambiar,0
578,3,0,1,2,No cambiar,0
579,3,1,1,2,No cambiar,1
580,3,0,2,1,No cambiar,0
581,3,0,1,2,No cambiar,0
582,3,0,1,2,No cambiar,0
583,3,1,0,2,No cambiar,0
584,3,1,2,0,No cambiar,0
585,3,1,1,0,No cambiar,1
586,3,1,1,2,No cambiar,1
587,3,1,2,0,No cambiar,0
588,3,1,1,2,No cambiar,1
589,3,1,1,0,No cambiar,1
590,3,1,0,2,No cambiar,0
591,3,2,2,0,No cambiar,1
592,3,2,2,0,No cambiar,1
593,3,0,0,1,No cambiar,1
594,3,2,2,1,No cambiar,1
595,3,1,0,2,No cambiar,0
596,3,1,0,2,No cambiar,0
597,3,2,0,1,No cambiar,0
598,3,2,0,1,No cambiar,0
599,3,2,0,1,No cambiar,0
600,3,2,1,0,No cambiar,0
601,3,1,0,2,No cambiar,0
602,3,2,2,0,No cambiar,1
603,3,2,0,1,No cambiar,0
604,3,1,1,2,No cambiar,1
605,3,2,0,1,No cambiar,0
606,3,1,0,2,No cambiar,0
607,3,0,1,2,No cambiar,0
608,3,1,0,2,No cambiar,0
609,3,1,2,0,No cambiar,0
610,3,0,2,1,No cambiar,0
611,3,2,2,0,No cambiar,1
612,3,2,0,1,No cambiar,0
613,3,2,0,1,No cambiar,0
614,3,2,0,1,No cambiar,0
615,3,1,0,2,No cambiar,0
616,3,2,1,0,No cambiar,0
617,3,0,1,2,No cambiar,0
618,3,0,0,1,No cambiar,1
619,3,1,1,0,No cambiar,1
620,3,2,1,0,No cambiar,0
621,3,0,1,2,No cambiar,0
622,3,0,2,1,No cambiar,0
623,3,2,0,1,No cambiar,0
624,3,0,2,1,No cambiar,0
625,3,2,2,1,No cambiar,1
626,3,0,1,2,No cambiar,0
627,3,1,2,0,No cambiar,0
628,3,0,2,1,No cambiar,0
629,3,2,0,1,No cambiar,0
630,3,0,0,2,No cambiar,1
631,3,2,2,0,No cambiar,1
632,3,0,2,1,No cambiar,0
633,3,1,0,2,No cambiar,0
634,3,1,1,0,No cambiar,1
635,3,2,1,0,No cambiar,0
636,3,2,2,0,No cambiar,1
637,3,2,2,0,No cambiar,1
638,3,2,2,1,No cambiar,1
639,3,1,2,0,No cambiar,0
640,3,0,2,1,No cambiar,0
641,3,0,1,2,No cambiar,0
642,3,1,1,2,No cambiar,1
643,3,0,0,2,No cambiar,1
644,3,1,1,0,No cambiar,1
645,3,1,2,0,No cambiar,0
646,3,2,0,1,No cambiar,0
647,3,0,2,1,No cambiar,0
648,3,0,0,2,No cambiar,1
649,3,2,1,0,No cambiar,0
650,3,0,2,1,No cambiar,0
651,3,1,0,2,No cambiar,0
652,3,1,0,2,No cambiar,0
653,3,2,2,1,No cambiar,1
654,3,1,0,2,No cambiar,0
655,3,2,2,0,No cambiar,1
656,3,1,1,0,No cambiar,1
657,3,0,2,1,No cambiar,0
658,3,2,1,0,No cambiar,0
659,3,0,1,2,No cambiar,0
660,3,0,0,2,No cambiar,1
661,3,0,1,2,No cambiar,0
662,3,2,2,1,No cambiar,1
663,3,2,0,1,No cambiar,0
664,3,0,1,2,No cambiar,0
665,3,0,1,2,No cambiar,0
666,3,1,0,2,No cambiar,0
667,3,2,1,0,No cambiar,0
668,3,0,1,2,No cambiar,0
669,3,0,1,2,No cambiar,0
670,3,1,1,2,No cambiar,1
671,3,2,0,1,No cambiar,0
672,3,2,1,0,No cambiar,0
673,3,2,1,0,No cambiar,0
674,3,1,2,0,No cambiar,0
675,3,0,1,2,No cambiar,0
676,3,1,2,0,No cambiar,0
677,3,2,0,1,No cambiar,0
678,3,0,0,2,No cambiar,1
679,3,2,1,0,No cambiar,0
680,3,0,0,2,No cambiar,1
681,3,0,2,1,No cambiar,0
682,3,1,0,2,No cambiar,0
683,3,2,0,1,No cambiar,0
684,3,2,1,0,No cambiar,0
685,3,2,2,0,No cambiar,1
686,3,2,2,0,No cambiar,1
687,3,2,2,0,No cambiar,1
688,3,0,1,2,No cambiar,0
689,3,2,2,0,No cambiar,1
690,3,1,2,0,No cambiar,0
691,3,2,2,1,No cambiar,1
692,3,0,0,1,No cambiar,1
693,3,2,1,0,No cambiar,0
694,3,1,1,2,No cambiar,1
695,3,2,1,0,No cambiar,0
696,3,1,2,0,No cambiar,0
697,3,0,0,1,No cambiar,1
698,3,2,0,1,No cambiar,0
699,3,0,2,1,No cambiar,0
700,3,0,0,1,No cambiar,1
701,3,1,2,0,No cambiar,0
702,3,0,2,1,No cambiar,0
703,3,2,2,1,No cambiar,1
704,3,1,2,0,No cambiar,0
705,3,0,2,1,No cambiar,0
706,3,2,1,0,No cambiar,0
707,3,2,0,1,No cambiar,0
708,3,2,1,0,No cambiar,0
709,3,2,2,1,No cambiar,1
710,3,2,1,0,No cambiar,0
711,3,1,1,0,No cambiar,1
712,3,1,1,2,No cambiar,1
713,3,2,2,1,No cambiar,1
714,3,2,0,1,No cambiar,0
715,3,1,2,0,No cambiar,0
716,3,0,0,2,No cambiar,1
717,3,0,2,1,No cambiar,0
718,3,1,1,0,No cambiar,1
719,3,1,0,2,No cambiar,0
720,3,0,1,2,No cambiar,0
721,3,1,2,0,No cambiar,0
722,3,2,2,0,No cambiar,1
723,3,1,0,2,No cambiar,0
724,3,1,2,0,No cambiar,0
725,3,1,1,2,No cambiar,1
726,3,0,2,1,No cambiar,0
727,3,0,2,1,No cambiar,0
728,3,1,0,2,No cambiar,0
729,3,1,0,2,No cambiar,0
730,3,1,2,0,No cambiar,0
731,3,1,1,0,No cambiar,1
732,3,2,1,0,No cambiar,0
733,3,0,2,1,No cambiar,0
734,3,0,2,1,No cambiar,0
735,3,2,0,1,No cambiar,0
736,3,0,2,1,No cambiar,0
737,3,0,0,2,No cambiar,1
738,3,2,0,1,No cambiar,0
739,3,2,1,0,No cambiar,0
740,3,2,0,1,No cambiar,0
741,3,1,0,2,No cambiar,0
742,3,0,1,2,No cambiar,0
743,3,0,0,2,No cambiar,1
744,3,2,1,0,No cambiar,0
745,3,1,0,2,No cambiar,0
746,3,2,1,0,No cambiar,0
747,3,0,2,1,No cambiar,0
